DOC_NO,PLANT,PURPOSE,SUBJECT,STATUS,PROGRESS,REQUESTER,REG_DATE,COMP_DATE,URL,CHANGE_ITEM,CHANGE_CONTENT,MTL
MANA-DOC-2026-00082,null,Prevent nonconformity,"JP Variable Sub Tread (26"" OE Mass Production Specs)",Complete,Complete,21604680,2026-03-30,2026-04-03,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2026-00082,etc,"JP Variable Sub Tread (26"" OE Mass Production Specs)",1
MANA-DOC-2026-00081,null,Prevent nonconformity,null,Saved,On-going,80501034,2026-03-27,null,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2026-00081,null,null,0
MANA-DOC-2026-00080,HP,Improve Productivity,BYD EQEAL curing time change: 158°→168°,Saved,On-going,80501034,2026-03-27,null,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2026-00080,Curing,curing time change: 158°→168°,1
MANA-DOC-2026-00079,HP,Improve Productivity,BYD EQEAL curing time change: 158°→168°,Complete,Complete,80501034,2026-03-27,2026-03-31,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2026-00079,Curing,curing time change: 158°→168°,1
MANA-DOC-2026-00077,HP,Improve Quality,BYD CNEAU 18inch X45 base  M-spec issued,Complete,Complete,81202521,2026-03-26,2026-04-03,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2026-00077,Profile,width：250→248，Sho.width:204→202,1
MANA-DOC-2026-00077,HP,Improve Quality,BYD CNEAU 18inch X45 base  M-spec issued,Complete,Complete,81202521,2026-03-26,2026-04-03,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2026-00077,etc,BSD :394→398 ，PA实测适正603→607（实测：615，Tech T建议：603→611适正）,1
MANA-DOC-2026-00077,HP,Improve Quality,BYD CNEAU 18inch X45 base  M-spec issued,Complete,Complete,81202521,2026-03-26,2026-04-03,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2026-00077,C/C,620→625,1
MANA-DOC-2026-00076,HP,Improve Quality,BYD EQEAL curing time change ,Reject(Request),Complete,80501034,2026-03-26,null,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2026-00076,Curing,curing time change 158°→168°,1
MANA-DOC-2026-00077,HP,Improve Quality,BYD CNEAU 18inch X45 base  M-spec issued,Complete,Complete,81202521,2026-03-26,2026-04-03,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2026-00077,etc,Lb:1.04→1.042  ，对应GOC ， T/D 长度实测适正,1
MANA-DOC-2026-00077,HP,Improve Quality,BYD CNEAU 18inch X45 base  M-spec issued,Complete,Complete,81202521,2026-03-26,2026-04-03,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2026-00077,Profile,Upper sho.   6.9/7.3/7.7→6.6/7.0/7.4    Center block: 7.4/7.4/7.4/2.7/7.7/7.7/7.7/7.7/7.7/7.7/2.7/7.4/7.4/7.4→7.1/7.1/7.1/2.9/7.4/7.4/7.4 /7.4/7.4/7.4/7.4/2.9/7.5/7.5/7.5    Lower sho. 7.9/7.5/7.1 → 8.2/7.7/7.3,1
